,t_dl,t_comp,t_ul,iters_p1,iters_p2,dropout_frac
1847,15.192000000000007,8.479615987381521,121.11417114907408,0,1,0.7
2072,13.157043879907633,1.9951078465060164,23.26792274865943,0,1,0.7
2117,0.7309468822170402,188.72208410884878,13.157043879907633,250,15,0.7
2133,6.905454545454631,8.222765350379177,41.26283190605977,0,3,0.7
2193,0.4872979214781026,192.61842722254596,9.867782909930611,100,3,0.7
2201,2.3921897963468837,188.19383239068839,9.867782909930611,400,13,0.7
2274,13.157043879907633,0.9116861748991596,239.32678983833694,0,1,0.7
2508,75.96000000000004,42.004330311648346,124.298181818182,0,5,0.7
2518,0.548210161662837,184.45868281931666,57.02225802167936,975,21,0.5441800709681675
2570,6.59375,107.55301288724058,92.11202621996995,0,27,0.7
2619,0.7309468822170402,129.8168029517892,30.03944314684577,1675,169,0.5161180335547536
2628,3.296875,127.70063937132136,53.58577754262933,0,29,0.7
2650,2.3921897963468837,183.57425311526913,14.033557088383986,125,76,0.6800142064628611
2660,0.7309468822170402,180.35667300216073,18.912380115622227,550,23,0.5687698478112467
2667,2.9305555555556566,58.633199957622764,75.57773541340543,50,26,0.7
2705,0.4872979214781026,158.12843760452415,43.059416334243224,100,22,0.7
2735,0.7309468822170402,190.8387109278185,9.867782909930611,300,11,0.7
2790,2.3921897963468837,186.2391227032299,11.36868750042322,100,54,0.6543695497501665
2838,26.314087759815266,0.2101146350566978,109.40545688364091,0,1,0.7
2880,3.296875,35.968940778994465,108.37432723626057,0,13,0.7
2897,3.0988378886254395,113.06704047475364,109.50078830328766,50,57,0.68214551038248
2922,2.3921897963468837,154.56152650347053,42.47286080957883,925,355,0.7
2968,1.096420323325674,171.95488244667945,26.948697229994877,275,19,0.5903533122489808
2991,0.548210161662837,148.84532477795028,80.41956259789367,1025,1,0.7
3069,4.3958333333332575,111.02221957293477,108.35194034232063,0,24,0.7
3149,2.9305555555556566,96.79023634671603,55.76322905867278,50,58,0.7
3302,14.38636363636374,3.053353039759031,106.94800716881036,0,1,0.7
3334,0.7309468822170402,134.46102667497826,64.79389870173509,575,3,0.7
3637,4.220000000000027,72.35142511891104,96.26709852798513,0,13,0.7
3651,6.905454545454631,68.85396127673812,74.37377522088423,0,42,0.7
3694,2.9305555555556566,124.68987328117464,152.18817801821638,25,29,0.7
3705,8.906637425296594,141.6061207172902,52.75,0,25,0.7
3783,3.296875,48.48602368770116,66.54710698879376,0,150,0.7
3840,6.59375,11.937236911520586,209.88167421416483,0,45,0.7
3841,0.4872979214781026,173.34464295460202,26.314087759815266,1100,4,0.7
